fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
24001000100,101,97,81,105,76,126,67,51,80,202,136,159,113,18,8,0
24001000200,94,80,127,36,60,58,37,73,44,122,95,138,119,32,40,17
24001000300,86,167,37,103,51,213,72,38,12,76,109,118,39,22,10,7
24001000400,87,77,95,53,108,89,89,55,87,90,80,95,157,64,14,18
24001000500,298,157,75,41,63,48,42,6,43,93,40,35,37,36,8,0
24001000600,149,77,84,144,127,48,41,21,80,135,123,152,67,11,0,21
24001000700,187,167,132,181,175,90,57,127,69,120,77,126,58,0,0,0
24001000800,138,164,53,41,91,66,71,12,40,64,69,19,33,32,6,14
24001001000,160,139,205,108,125,64,84,26,33,23,60,83,20,0,0,15
24001001100,118,108,94,61,28,20,22,35,23,42,75,77,45,17,14,21
24001001200,83,32,35,45,67,86,45,38,34,116,104,159,116,116,86,45
24001001300,49,59,141,90,54,10,11,61,34,71,105,102,81,11,9,31
24001001401,52,76,57,103,125,83,86,82,46,120,107,316,147,108,89,44
24001001402,35,55,68,31,33,15,29,37,47,49,132,37,24,26,17,0
24001001502,36,75,38,102,54,40,38,52,4,74,99,56,54,6,3,27
24001001503,41,21,62,94,38,33,23,34,78,125,33,91,84,29,23,0
24001001600,27,28,30,42,113,106,35,7,38,89,101,83,67,4,25,24
24001001700,358,274,185,20,33,65,130,25,74,150,288,175,45,107,83,0
24001001800,311,167,147,204,67,51,124,29,124,151,128,147,62,0,38,30
24001001900,26,40,16,55,90,82,70,59,46,197,178,84,35,23,2,11
24001002000,219,50,110,240,127,208,90,152,50,118,187,220,227,104,76,73
24001002100,106,52,100,109,80,101,102,107,96,130,132,110,72,37,16,2
24001002200,170,121,63,61,90,59,126,59,38,90,190,280,83,27,24,19
24003701101,32,47,39,39,9,27,22,47,28,98,113,87,196,132,319,306
24003701102,54,26,117,36,15,149,90,98,68,229,293,471,392,222,437,246
24003701200,30,53,60,25,67,53,47,75,181,223,315,473,299,462,295,499
24003701300,18,53,32,57,60,116,143,73,75,26,84,467,372,306,231,475
24003701400,22,31,0,0,87,6,55,29,0,0,120,163,153,67,150,346
24003702100,33,17,16,30,33,24,19,88,65,110,214,310,503,266,273,470
24003702204,30,9,20,20,45,0,25,46,71,14,111,121,245,186,266,376
24003702205,72,0,48,14,42,13,54,62,86,173,397,304,362,264,229,135
24003702206,14,0,0,16,17,61,23,28,47,60,381,465,381,355,397,117
24003702208,22,0,0,0,14,41,16,46,127,268,244,333,341,362,462,304
24003702209,121,0,0,11,0,0,94,0,49,21,58,111,135,188,278,440
24003702300,33,32,6,25,35,22,39,27,17,112,118,271,218,209,201,549
24003702402,59,14,165,93,122,55,58,96,79,113,156,543,545,315,320,381
24003702500,205,0,119,93,60,15,21,107,41,246,342,179,293,189,192,142
24003702601,93,58,30,28,71,0,99,61,23,109,182,264,293,243,352,267
24003702602,69,2,71,42,39,60,0,27,31,66,153,257,245,232,390,531
24003702701,61,0,16,32,27,42,36,79,36,118,257,598,419,181,100,227
24003702702,69,13,0,29,11,26,11,42,0,38,119,100,111,178,242,442
24003706101,114,83,107,45,62,45,87,89,77,101,97,135,157,145,103,330
24003706301,142,82,39,92,40,49,79,108,72,237,228,275,268,177,119,240
24003706302,41,14,106,62,70,34,84,54,36,77,125,321,276,93,173,218
24003706401,46,0,87,144,82,0,170,63,15,289,412,533,228,132,137,94
24003706402,181,99,135,94,35,48,53,17,68,65,100,123,188,90,62,81
24003706500,157,79,109,113,50,102,74,118,19,218,205,307,326,154,117,230
24003706600,87,102,84,106,69,21,38,117,83,107,103,237,216,157,301,263
24003706700,4,3,0,0,0,0,0,5,0,12,44,17,39,24,46,41
24003707001,60,44,35,43,154,81,51,22,21,225,220,356,266,257,221,354
24003707002,0,30,83,22,27,40,58,54,23,122,130,356,314,231,185,146
24003708001,49,31,35,20,32,53,49,42,93,69,113,155,173,142,171,207
24003708004,102,46,148,118,47,134,128,69,57,230,178,297,73,221,99,275
24003730100,47,35,8,93,171,80,82,84,69,158,197,693,364,257,230,131
24003730203,243,107,133,209,85,255,69,132,18,282,161,343,74,12,42,29
24003730204,50,54,53,92,117,86,81,175,76,126,218,291,217,187,168,125
24003730300,180,0,69,48,31,33,11,19,63,71,189,194,141,62,40,30
24003730401,104,68,80,102,36,115,62,32,68,173,250,210,103,229,88,57
24003730402,201,201,105,184,123,74,64,84,68,245,334,304,204,152,65,47
24003730502,96,107,0,114,152,72,115,16,66,123,150,350,315,252,279,152
24003730504,32,7,43,61,97,157,145,67,297,258,208,434,360,361,244,133
24003730505,113,50,152,95,214,151,129,167,40,197,248,359,76,86,18,0
24003730506,127,90,61,164,98,346,176,126,93,183,115,282,96,14,25,36
24003730601,56,15,41,61,16,13,43,33,15,46,140,275,269,247,349,675
24003730603,9,33,80,0,45,23,27,0,42,29,46,95,168,92,93,226
24003730604,12,23,16,38,46,28,11,39,51,95,58,310,193,349,359,494
24003730700,13,12,65,121,64,64,34,52,37,115,246,300,207,211,403,578
24003730800,6,28,0,28,17,14,0,8,24,13,56,90,128,106,140,229
24003730901,11,8,4,15,29,25,5,30,45,68,25,99,148,50,115,167
24003730902,24,45,9,7,16,59,17,43,41,25,115,126,151,105,218,397
24003731002,0,0,19,36,27,22,11,0,0,42,170,175,226,124,201,134
24003731003,0,37,9,14,12,12,34,64,32,96,201,249,257,160,252,161
24003731004,87,45,58,34,50,0,56,0,56,18,169,265,257,133,193,137
24003731102,78,13,54,26,72,59,71,90,67,192,368,356,440,308,321,409
24003731103,96,18,0,9,43,20,15,57,67,121,142,290,240,189,263,185
24003731104,0,0,0,29,17,31,51,48,25,73,111,295,152,201,225,157
24003731105,8,55,25,35,30,40,26,64,31,49,178,165,173,91,200,86
24003731201,84,18,94,0,64,53,34,55,55,178,55,253,270,219,333,501
24003731202,55,138,52,121,81,96,9,21,56,169,372,312,328,267,267,260
