fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
220710001001,54,0,33,0,0,0,22,0,11,16,54,59,41,31,42,81
220710001002,42,21,23,0,79,27,0,34,61,25,9,73,38,0,37,19
220710001003,32,12,19,18,0,29,0,0,43,46,47,14,33,33,14,19
220710002001,49,34,15,49,13,32,6,5,13,0,14,12,13,0,19,0
220710002002,116,5,10,7,0,6,0,32,0,6,23,28,13,0,0,7
220710003001,58,6,8,21,38,6,29,37,0,19,20,5,0,0,0,0
220710003002,23,34,35,20,23,0,12,0,8,50,0,0,0,10,0,0
220710004001,33,40,57,63,26,32,12,0,25,61,49,30,30,13,4,0
220710004002,77,57,46,29,9,48,27,24,36,21,17,8,0,0,7,0
220710006011,78,43,3,43,4,0,0,0,0,0,8,0,0,0,0,0
220710006012,28,23,16,2,34,7,0,0,0,42,0,0,0,0,0,0
220710006021,53,4,41,15,28,10,9,19,15,5,41,23,12,0,0,0
220710006022,84,23,36,45,10,28,34,21,0,30,14,19,0,0,0,0
220710006023,37,62,5,47,27,67,22,27,0,32,26,15,0,0,15,0
220710006031,30,3,36,41,0,9,53,32,0,0,18,7,0,0,0,0
220710006032,64,61,8,18,2,12,8,13,7,24,0,0,5,23,0,0
220710006041,35,0,24,58,30,10,10,20,49,60,29,82,24,25,0,0
220710006042,115,8,71,20,28,7,95,66,44,76,73,24,22,26,0,0
220710006043,57,24,9,33,69,35,48,11,51,124,19,0,0,0,0,0
220710006051,37,73,63,15,29,8,12,36,10,13,35,10,4,8,0,6
220710006052,14,18,16,0,31,10,5,14,0,26,7,45,12,0,0,0
220710006053,9,7,0,20,8,39,14,34,22,17,14,6,0,0,4,0
220710006061,28,29,36,49,0,0,7,0,65,72,153,29,44,34,41,6
220710006062,35,8,17,31,60,21,0,61,8,85,14,48,64,0,11,0
220710006063,10,0,12,16,43,0,0,9,36,102,78,112,59,50,41,20
220710006071,0,0,18,0,18,0,0,32,52,0,50,54,12,21,14,20
220710006072,12,22,8,7,15,28,0,7,25,51,46,174,36,20,14,38
220710006073,42,38,19,34,18,56,80,39,53,42,56,11,90,20,60,20
220710006111,55,70,0,30,69,11,158,28,10,59,55,23,78,0,34,0
220710006112,106,108,97,76,20,33,63,61,0,100,112,89,12,21,0,0
220710006121,8,0,0,0,31,34,45,6,6,25,74,10,38,45,49,231
220710006131,26,19,8,20,13,43,10,48,0,0,35,9,32,17,21,0
220710006132,117,36,71,60,27,43,17,16,27,0,22,51,46,6,0,5
220710006133,422,172,126,66,54,86,8,11,23,51,40,38,0,0,0,0
220710006151,120,0,10,130,6,26,113,14,43,35,17,99,27,23,47,12
220710006152,139,18,161,51,114,46,53,30,69,28,61,133,34,11,0,0
220710006161,10,0,73,26,9,19,0,27,37,0,19,125,28,0,0,0
220710006162,21,63,63,76,59,43,24,15,0,9,27,72,8,9,0,0
220710006163,24,24,10,7,0,0,15,31,34,88,51,115,98,37,60,47
220710006171,55,15,17,117,53,108,0,8,31,168,27,92,0,0,0,0
220710006172,78,55,115,117,114,54,114,158,0,81,68,87,68,14,25,0
220710006181,2,11,0,0,12,9,6,0,0,43,22,42,97,91,63,116
220710006182,62,0,37,25,0,0,18,76,20,57,59,78,112,57,104,24
220710007011,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8
220710007012,4,5,0,8,8,0,0,0,0,9,0,0,0,0,0,0
220710007013,16,0,13,10,3,0,3,4,0,11,0,0,4,0,0,0
220710007014,10,4,0,7,0,0,0,0,5,0,0,14,15,9,0,0
220710007021,53,0,33,6,0,16,0,25,0,0,4,0,4,0,0,0
220710007022,12,0,47,28,28,5,24,0,2,55,0,0,3,0,0,5
220710007023,33,0,0,0,57,3,0,0,0,0,0,0,0,6,0,0
220710007024,5,4,0,0,43,0,21,21,0,16,0,5,5,0,0,0
220710008001,42,6,0,5,0,3,3,5,10,30,18,0,0,0,0,2
220710008002,29,5,32,6,0,7,7,10,27,14,14,0,0,13,0,0
220710008003,34,0,43,11,0,13,0,26,0,28,8,9,0,0,3,0
220710009011,0,10,10,12,26,0,0,4,0,5,0,0,0,8,0,0
220710009012,5,9,0,6,0,0,26,0,0,10,12,0,0,0,0,0
220710009013,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0
220710009014,3,25,36,0,18,0,0,0,0,0,0,0,0,0,0,0
220710009021,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0
220710009022,4,0,0,3,0,0,7,0,0,11,0,0,0,0,0,0
220710009023,3,9,0,0,0,4,8,5,33,0,0,0,0,0,0,0
220710009024,0,0,0,0,0,0,10,0,0,2,0,3,0,0,0,0
220710009031,7,4,0,4,22,2,0,15,0,0,0,0,0,0,0,0
220710009032,18,23,0,6,0,15,0,0,0,9,3,0,2,0,0,0
220710009033,0,0,0,10,0,0,10,0,5,0,0,0,0,0,0,0
220710009034,5,9,0,4,4,3,0,0,0,0,0,0,0,0,0,0
220710009041,42,14,19,33,11,22,7,0,0,14,0,16,0,0,0,0
220710009042,71,19,0,32,6,6,19,0,0,5,0,0,0,0,4,0
220710011001,40,32,39,33,36,15,14,13,10,28,0,0,6,0,0,0
220710011002,62,26,47,21,62,16,39,53,35,0,81,76,50,5,16,41
220710011003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220710012001,26,30,0,29,22,44,6,32,46,16,21,18,13,23,0,0
220710012002,23,48,23,0,40,33,19,11,12,32,5,24,0,13,15,0
220710012003,10,14,33,9,34,16,17,15,4,36,9,40,6,26,16,5
220710013011,136,17,7,11,6,0,22,0,0,0,43,7,5,20,0,0
220710013012,71,6,5,0,0,24,22,19,5,20,21,4,8,14,4,0
220710013013,3,41,4,25,19,0,16,0,5,7,8,7,0,0,2,0
220710013014,78,0,37,16,5,0,0,6,0,0,0,0,0,0,0,0
220710013021,66,4,0,9,35,25,0,37,0,24,3,0,0,0,0,0
220710013022,74,89,12,0,33,0,19,2,6,32,4,0,0,0,5,0
