fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
360610001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610002010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610002011,72,45,17,8,23,0,0,7,34,12,57,22,11,0,0,10
360610002012,136,94,122,88,0,16,16,5,15,54,19,29,28,0,0,0
360610002020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610002021,30,31,18,71,0,29,13,15,0,0,17,0,36,0,0,0
360610002022,154,45,35,74,58,63,15,14,14,24,39,60,13,0,0,0
360610002023,298,118,71,98,70,86,25,0,34,63,14,0,0,0,0,0
360610002024,120,142,0,70,101,0,22,24,74,35,95,24,9,0,0,0
360610002025,84,48,57,15,29,14,38,45,53,0,172,27,116,44,33,102
360610005000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610005001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610005002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610006000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610006001,173,34,11,10,31,9,0,12,24,60,14,36,12,0,16,43
360610006002,292,111,105,26,135,25,12,68,70,138,0,0,33,32,0,0
360610006003,53,142,0,0,0,0,0,0,0,44,80,0,40,0,0,33
360610006004,149,127,26,0,0,33,0,0,0,0,0,27,22,0,0,0
360610006005,233,175,60,87,45,32,73,0,0,102,21,14,0,0,0,0
360610006006,161,19,110,77,28,51,0,52,13,13,24,75,51,60,0,28
360610007000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610007001,304,27,93,40,30,91,12,66,76,232,256,426,563,296,682,1031
360610007002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610008000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610008001,107,30,45,13,60,47,13,0,31,35,16,36,0,0,0,0
360610008002,25,115,84,13,0,37,0,0,50,11,27,78,21,0,0,16
360610008003,125,83,96,45,0,49,73,50,9,14,0,14,31,13,0,0
360610008004,105,85,121,37,53,159,0,13,0,181,79,45,0,0,17,0
360610008005,158,80,186,63,42,66,33,12,15,109,79,90,14,26,0,0
360610008006,130,83,67,20,0,12,10,33,0,23,0,0,12,32,0,28
360610009000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610009001,3,5,5,0,0,0,19,9,0,0,11,35,97,57,69,197
360610009002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610010010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610010011,41,5,23,52,54,5,19,6,13,43,78,83,39,41,139,119
360610010020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610010021,178,187,164,12,0,17,100,0,28,56,61,0,12,0,0,0
360610010022,94,190,45,122,8,29,72,36,0,0,23,62,0,2,0,0
360610010023,190,96,50,23,10,43,0,70,11,47,106,42,29,0,0,0
360610012001,178,131,88,69,33,24,21,11,17,17,44,16,5,22,0,39
360610012002,0,0,10,9,27,0,10,0,10,94,18,36,89,38,29,28
360610012003,10,36,11,70,26,40,52,0,11,38,42,59,47,92,56,37
360610013001,47,73,19,0,36,9,0,25,78,54,19,198,148,128,101,205
360610013002,82,9,26,17,0,23,11,35,0,45,40,99,131,97,145,410
360610014011,10,41,35,10,14,9,21,8,8,50,96,91,72,56,46,196
360610014012,31,36,55,53,94,24,18,9,0,65,19,35,88,48,54,185
360610014021,97,64,47,49,21,26,18,11,34,9,76,42,59,48,29,84
360610014022,136,78,71,40,26,13,6,48,29,94,64,12,0,0,1,8
360610015010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610015011,15,30,18,109,59,0,0,65,18,13,105,47,115,170,105,343
360610015012,112,126,83,260,0,69,56,83,91,52,147,148,150,38,7,32
360610015013,163,24,31,10,0,15,0,0,0,57,0,24,35,25,30,141
360610015020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610015021,49,3,0,20,70,0,0,0,12,67,95,170,122,0,156,500
360610015022,70,35,0,24,47,12,75,23,0,78,160,209,141,190,167,350
360610015023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610016001,81,202,103,92,12,0,11,26,25,59,92,36,66,0,73,20
360610016002,120,32,0,0,80,0,0,0,9,0,32,117,0,0,0,41
360610016003,101,26,38,0,0,28,0,10,0,94,148,34,0,13,0,0
360610016004,61,34,63,29,88,0,19,0,35,16,73,0,80,40,56,55
360610016005,121,26,89,67,12,0,29,0,0,62,0,72,37,13,13,0
360610018001,78,63,0,11,0,12,0,47,30,14,30,60,26,32,0,42
360610018002,51,0,15,31,47,23,0,38,0,0,14,80,0,0,28,0
360610018003,62,0,51,46,0,25,17,53,10,18,98,134,43,54,114,57
360610018004,55,38,15,73,13,0,0,0,0,31,0,29,51,15,0,8
360610018005,52,22,0,12,0,0,10,0,0,44,13,26,35,37,0,25
360610018006,23,91,69,41,60,25,0,21,33,32,18,55,0,12,0,0
360610018007,108,0,41,9,14,0,34,13,0,14,0,52,38,38,35,0
360610020000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610020001,196,137,151,159,19,27,98,10,16,39,37,15,19,0,6,0
360610020002,191,34,239,49,33,2,18,11,8,21,37,0,10,0,0,0
360610020003,131,29,31,20,0,7,11,11,0,0,24,9,0,0,0,0
360610021001,15,0,0,12,0,0,0,10,16,40,42,80,34,26,236,765
360610021002,32,10,0,0,48,0,0,30,0,14,117,55,136,42,267,657
360610022011,168,47,55,50,38,35,0,0,19,67,103,66,64,14,31,53
360610022012,72,0,33,64,0,0,0,18,24,51,0,17,64,22,12,90
360610022013,45,65,48,43,86,33,17,20,30,50,37,10,17,0,0,0
360610022014,76,41,49,59,57,154,116,83,10,43,205,61,70,16,0,0
360610022021,80,42,24,28,25,0,15,75,0,28,144,152,108,22,94,158
360610024000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610024001,160,191,131,78,88,68,11,47,16,18,83,85,74,42,64,96
360610024002,273,86,64,26,64,101,0,32,49,12,85,13,25,0,0,4
360610025000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610025001,382,193,146,49,46,85,44,9,23,61,63,27,15,0,0,34
360610025002,9,46,0,0,0,8,0,0,0,40,19,22,0,0,0,0
360610025003,109,142,69,30,69,8,18,34,0,28,0,7,0,0,0,0
360610026011,39,45,60,9,26,60,0,8,14,40,89,89,20,6,30,93
360610026012,173,77,36,70,9,64,25,22,11,54,28,76,61,29,60,85
360610026021,159,45,43,34,55,122,32,27,35,35,48,67,81,86,56,66
360610026022,73,65,81,13,0,53,73,87,0,10,63,115,146,64,48,177
360610027001,83,28,20,46,27,28,5,23,5,41,9,56,38,23,66,37
360610028001,40,38,98,19,25,41,0,0,13,0,90,71,0,23,10,0
360610028002,143,231,89,11,19,16,79,16,0,13,51,0,12,58,0,20
360610028003,195,38,39,38,59,58,52,15,16,86,42,66,115,16,13,11
360610028004,198,126,36,29,68,13,9,27,29,201,157,89,134,13,36,0
360610029001,133,46,53,0,0,0,32,0,13,26,105,0,0,0,9,0
360610029002,74,41,31,66,69,12,12,79,0,11,11,16,48,13,39,8
360610029003,135,68,60,56,53,0,79,80,12,48,36,120,27,32,0,0
360610029004,23,13,0,37,37,0,32,11,24,65,13,0,11,0,0,52
360610030011,72,38,0,19,40,12,60,73,13,79,23,137,33,31,17,138
360610030012,14,0,27,52,25,48,0,17,38,54,74,88,111,45,111,25
360610030013,64,16,0,39,0,0,18,15,0,84,14,79,17,0,29,0
360610030014,0,43,0,0,30,13,0,30,0,91,26,49,43,11,32,43
360610030021,23,31,13,87,113,48,33,13,21,27,134,166,128,26,57,51
360610030022,145,114,37,24,71,27,0,33,40,27,56,93,101,9,7,36
360610031001,46,14,6,41,15,0,0,14,8,3,7,24,35,78,168,279
360610032001,72,29,69,32,20,49,67,0,35,19,221,34,81,48,118,12
